"﻿""id""",comune,provincia,fascia_pop_stimata,cluster,dominio_ipotizzato,dominio_verificato,url_albo,url_delibere,cms,pec,note
1,Romano di Lombardia,BG,L,medio,comune.romano.bg.it,SI,,https://comune.romano.bg.it/amministrazione-trasparente/bandi-di-gara-e-contratti/|https://comune.romano.bg.it/amministrazione-trasparente/altri-contenuti/prevenzione-della-corruzione/provvedimenti-adottati-dalla.n.ac.-ed-atti-di-adeguamento-a-tali-provvedimenti/|https://comune.romano.bg.it/amministrazione-trasparente/bandi-di-gara-e-contratti/atti-relativi-alle-procedure-per-laffidamento-di-appalti-pubblici-di-cui-allart.-5-dlgs-50-2016/avviso-sui-risultati-della-procedura-di-affidamento-diretto-entro-il-30.6.2023/|https://comune.romano.bg.it/amministrazione-trasparente/bandi-di-gara-e-contratti/atti-relativi-alle-procedure-per-laffidamento-di-appalti-pubblici-di-cui-allart.-5-dlgs-50-2016/avviso-di-avvio-della-procedura-e-risultati-della-aggiudicazione-di-procedure-negoziate-senza-bando/|https://comune.romano.bg.it/amministrazione-trasparente/bandi-di-gara-e-contratti/atti-delle-amministrazioni-aggiudicatrici-e-degli-enti-aggiudicatori-distintamente-per-ogni-procedura/provvedimento-che-determina-le-esclusioni-dalla-procedura-di-affidamento/|https://comune.romano.bg.it/amministrazione-trasparente/enti-controllati/societa-partecipate/provvedimenti/|https://comune.romano.bg.it/amministrazione-trasparente/bandi-di-gara-e-contratti/informazioni-sulle-singole-procedure-in-formato-tabellare/,design_italia,,
2,Caravaggio,BG,M,medio,comune.caravaggio.bg.it,SI,,https://caravaggio.trasparenza-valutazione-merito.it,design_italia,,
3,Castelli Calepio,BG,M,medio,comune.castellicalepio.bg.it,SI,,https://www.comune.castellicalepio.bg.it/c016062/zf/index.php/bandi-di-gara/bandi-di-gara/tabelle-riassuntive,design_italia,,"URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
4,Comun Nuovo,BG,S,piccolo,comune.comunnuovo.bg.it,SI,,https://comune.comunnuovo.bg.it/it/page/136373,design_italia,,
5,Valbrembo,BG,S,piccolo,comune.valbrembo.bg.it,SI,,https://www.halleyweb.com/c016224/zf/index.php/trasparenza/index/index/categoria/149|http://www.halleyweb.com/c016224/zf/index.php/trasparenza/index/index|https://www.halleyweb.com/c016224/zf/index.php/atti-amministrativi/ordinanze|http://www.halleyweb.com/c016224/zf/index.php/atti-amministrativi/determine|http://www.halleyweb.com/c016224/zf/index.php/atti-amministrativi/delibere|http://www.halleyweb.com/c016224/mc/mc_p_ricerca.php,design_italia,,
6,Rovato,BS,M,medio,comune.rovato.bs.it,SI,,https://comune.rovato.bs.it/amministrazione-trasparente/bandi-di-gara-e-contratti/,design_italia,,
7,Iseo,BS,M,lacustre,comune.iseo.bs.it,SI,https://comune.iseo.bs.it/zf/index.php/albo-pretorio/albo,https://comune.iseo.bs.it/zf/index.php/atti-amministrativi/delibere|https://comune.iseo.bs.it/zf/index.php/atti-amministrativi/determine|https://comune.iseo.bs.it/zf/index.php/albo-pretorio/albo|https://comune.iseo.bs.it/zf/index.php/bandi-di-gara/bandi-di-gara,halley,,
8,Palazzolo sull Oglio,BS,L,medio,comune.palazzolosulloglio.bs.it,SI,,https://www.halleyweb.com/c017133/zf/index.php/trasparenza/index/index/categoria/85|https://www.halleyweb.com/c017133/mc/mc_p_ricerca.php,design_italia,,GARA PF IN CORSO - CIG BC1C6CA2E5
9,Castenedolo,BS,M,medio,comune.castenedolo.bs.it,SI,,https://comune.castenedolo.bs.it/documenti-e-dati/|https://halleyweb.com/c017043/zf/index.php/trasparenza/index/index?x=5277c2586a60eb61ba503bcee1b91ee7|https://halleyweb.com/c017043/mc/mc_p_ricerca.php?noHeaderFooter=1&multiente=c017043,design_italia,,
10,Toscolano-Maderno,BS,M,lacustre,comune.toscolanomaderno.bs.it,SI,https://albopretorio.sipalinformatica.it/sipal_ap/servlet/ListPubblicazione?codfisc=00581090982&idsezione=1&categoria=BANDI-GARE,https://toscolano.maggiolicloud.it/atti/AmministrazioneTrasparente.aspx?Tipo=8127,generic,,"trasparenza su piattaforma Maggioli separata dal dominio principale | URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
11,Lonato del Garda,BS,M,medio,comune.lonato.bs.it,SI,,https://comune.lonato.bs.it/amministrazione/amministrazione-trasparente/bandi-di-gara-e-contratti|https://comune.lonato.bs.it/bandi-e-gare,design_italia,,
12,Capriolo,BS,M,medio,comune.capriolo.bs.it,NO,,https://www.capriolo.org/c017038/zf/index.php/bandi-di-gara/bandi-di-gara/tabelle-riassuntive,,,"dominio corretto: capriolo.org (non comune.capriolo.bs.it) | URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
13,Torbole Casaglia,BS,S,piccolo,comune.torbolecasaglia.bs.it,NO,https://torbolecasaglia.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,https://torbolecasaglia.trasparenza-valutazione-merito.it/web/trasparenza,,,"dominio istituzionale corretto: comune.torbole-casaglia.bs.it (con trattino) | URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
14,San Felice del Benaco,BS,S,lacustre,comune.sanfelicedelbenaco.bs.it,SI,,https://sanfelicedelbenaco.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza,maggioli_sipal,,
15,Manerba del Garda,BS,S,lacustre,comune.manerbadelgarda.bs.it,SI,,https://cloud.urbi.it/urbi/progs/urp/ur1UR033.sto?DB_NAME=n1200775&NodoSel=23,urbi_padigitale,,"pagina indice Amministrazione Trasparente, sotto-sezione bandi non confermata | URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
16,Borno,BS,XS,piccolo,comune.borno.bs.it,SI,,https://comune.borno.bs.it?code=AT.40.70|https://comune.borno.bs.it?code=AT.10.20.20|https://comune.borno.bs.it?code=AT.C0.30|https://comune.borno.bs.it?code=AT.T0.30.40|https://comune.borno.bs.it?code=AT.T0.10.50|https://comune.borno.bs.it?code=AT.90.20,design_italia,,
17,Lograto,BS,S,piccolo,comune.lograto.bs.it,SI,,https://comune.lograto.bs.it/Amministrazione-Trasparente/Personale/Personale-non-a-tempo-indeterminato|https://comune.lograto.bs.it/Amministrazione-Trasparente/Provvedimenti/Provvedimenti-organi-indirizzo-politico|https://comune.lograto.bs.it/Amministrazione-Trasparente/Provvedimenti|https://comune.lograto.bs.it/Amministrazione-Trasparente/Disposizioni-generali/Atti-generali/Atti-amministrativi-generali|https://comune.lograto.bs.it/Amministrazione-Trasparente/Provvedimenti/Provvedimenti-dirigenti|https://comune.lograto.bs.it/Amministrazione-Trasparente/Enti-controllati/Societa-partecipate/Provvedimenti,generic,,
18,Orzivecchi,BS,XS,piccolo,comune.orzivecchi.bs.it,SI,https://orzivecchi.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,https://orzivecchi.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza|https://orzivecchi.trasparenza-valutazione-merito.it/web/trasparenza/albo-pretorio,maggioli_sipal,,
19,Cremona,CR,XL,capoluogo,comune.cremona.it,SI,https://www.comune.cremona.it/schede-informative/albo-pretorio-online,https://trasparenza.comune.cremona.it/bandi-gara-contratti,generic,,"URL individuati via ricerca web, non verificati con fetch diretto (proxy di rete bloccato): controllare prima dell'uso."
20,Castelleone,CR,M,medio,comune.castelleone.cr.it,SI,,https://comune.castelleone.cr.it/documenti-e-dati/|https://comune.castelleone.cr.it/tipi_documento/deliberazione-del-consiglio-comunale/,design_italia,,
21,Montanaso Lombardo,LO,XS,piccolo,comune.montanaso.lo.it,SI,https://montanasolombardo.trasparenza-valutazione-merito.it/albo-pretorio;jsessionid=DACFCD68F8810A253AEE2D4CE610370E,https://montanasolombardo.trasparenza-valutazione-merito.it/amministrazione-trasparente|https://montanasolombardo.trasparenza-valutazione-merito.it/albo-pretorio;jsessionid=DACFCD68F8810A253AEE2D4CE610370E,design_italia,,
22,Tavazzano con Villavesco,LO,S,piccolo,comune.tavazzanoconvillavesco.lo.it,SI,https://comune.tavazzanoconvillavesco.lo.it/it/public_documents/documenti-albo-pretorio,https://comune.tavazzanoconvillavesco.lo.it/it/public_documents/determina-n-159-del-24-04-2024|https://comune.tavazzanoconvillavesco.lo.it/it/public_documents/documenti-albo-pretorio,design_italia,,
23,Viadana,MN,M,medio,comune.viadana.mn.it,SI,,https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/590945-atti-amministrativi-generali|https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/590945-atti-amministrativi-generali/contenuti/3314787-piano-integrato-attivita-organizzazione-piao-2025|https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/590945-atti-amministrativi-generali/contenuti/3510867-piano-integrato-attivita-organizzazione-piao-2026|https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/1940631-avviso-risultati-procedura-affidamento-diretto|https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/1940633-avviso-avvio-procedura-risultati-aggiudicazione|https://comune.viadana.mn.it/amministrazione-trasparente/sezioni/591166-determina-aggiudicazione,design_italia,,
24,Goito,MN,M,medio,comune.goito.mn.it,SI,,https://comune.goito.mn.it/amministrazione-trasparente/bandi-di-gara-e-contratti/|https://www.halleyweb.com/c020026/zf/index.php/trasparenza/index/index/categoria/133|https://www.halleyweb.com/c020026/zf/index.php/trasparenza|https://www.halleyweb.com/c020026/mc/mc_p_ricerca.php,design_italia,,
25,Asola,MN,M,medio,comune.asola.mn.it,SI,,http://halleyweb.com/c020002/zf/index.php/trasparenza/index/index/categoria/399|http://halleyweb.com/c020002/zf/index.php/trasparenza/index/index|http://www.halleyweb.com/c020002/mc/mc_p_ricerca.php,design_italia,,
26,Castelbelforte,MN,S,piccolo,comune.castelbelforte.mn.it,SI,,https://essevum.trasparenza-valutazione-merito.it/|https://castelbelforte.trasparenza-valutazione-merito.it/web/trasparenza/trasparenza;jsessionid=CC06841ED73EC196592DF3723D718925|https://comune.castelbelforte.mn.it/it/public_documents/deliberazione-n-14-del-20-04-2024,design_italia,,
27,San Giuliano Milanese,MI,L,hinterland,comune.sangiulianomilanese.mi.it,SI,,https://comune.sangiulianomilanese.mi.it/amministrazione-trasparente/provvedimenti/|https://comune.sangiulianomilanese.mi.it/documenti-e-dati/,design_italia,,
